epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4621.06,0.90425,0.45234,1.0286,0.9677,0.93631,0.97536,0.68695,1.17807,0.47901,1.17207,0.0002774,0.0002774,0.0002774
89,4672.68,0.87874,0.43163,1.02319,0.96106,0.94266,0.97788,0.68883,1.16901,0.48207,1.16518,0.0002576,0.0002576,0.0002576
90,4725.04,0.90095,0.45113,1.02846,0.96435,0.93936,0.97558,0.69287,1.15152,0.473,1.15054,0.0002378,0.0002378,0.0002378
91,4802.71,0.85783,0.39684,1.00451,0.95758,0.94046,0.97038,0.67778,1.15729,0.48284,1.1607,0.000218,0.000218,0.000218
92,4854.08,0.83227,0.38529,0.98654,0.95118,0.94792,0.97198,0.6856,1.16592,0.47805,1.16494,0.0001982,0.0001982,0.0001982
93,4906.67,0.83474,0.38342,0.99433,0.95411,0.94097,0.96921,0.69411,1.14888,0.46925,1.14957,0.0001784,0.0001784,0.0001784
94,4957.96,0.82575,0.38067,0.98853,0.95277,0.94444,0.96652,0.68055,1.15857,0.47426,1.15864,0.0001586,0.0001586,0.0001586
95,5010.52,0.82119,0.37673,0.98536,0.95137,0.95106,0.96743,0.68126,1.16604,0.47381,1.1672,0.0001388,0.0001388,0.0001388
96,5062.11,0.8263,0.37467,0.99261,0.95741,0.93677,0.9676,0.68413,1.15398,0.47069,1.15921,0.000119,0.000119,0.000119
97,5114.67,0.80108,0.37622,0.97527,0.96426,0.93667,0.96946,0.68386,1.1606,0.4759,1.16141,9.92e-05,9.92e-05,9.92e-05
98,5165.85,0.80986,0.36094,0.98045,0.95105,0.94445,0.97049,0.68335,1.16127,0.47795,1.16097,7.94e-05,7.94e-05,7.94e-05
99,5217.42,0.80231,0.36911,0.97115,0.96091,0.93892,0.97009,0.68395,1.15918,0.4746,1.15758,5.96e-05,5.96e-05,5.96e-05
100,5270,0.80427,0.36328,0.96716,0.96093,0.93934,0.97048,0.68273,1.16176,0.47565,1.15818,3.98e-05,3.98e-05,3.98e-05
